Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"VAVOULA N.","56724218500;","Interoperability of EU Information Systems: The Deathblow to the Rights to Privacy and Personal Data Protection of Third-Country Nationals?",2020,"European Public Law","26","1",,"131","156",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099586395&partnerID=40&md5=fa9e3330204160b2fbd0ece1ff2ebf70","School of Law, Queen Mary, University of London, United Kingdom","VAVOULA, N., School of Law, Queen Mary, University of London, United Kingdom","This article examines key privacy and data protection concerns raised by the Regulations that establish a framework for interoperability between EU-wide centralized information systems processing personal data of third-country nationals (Schengen Information System II, Visa Information System, Eurodac, Entry/Exit System, European Travel Information and Authorization System, European Criminal Records Information System for third-country nationals). After a concise outline of the complex landscape within which these databases have been set up, emphasis is placed on the novelties and challenges that interoperability brings forward. In that regard, the articles evaluates the setting up of new databases, particularly the Biometric Matching Service and the Common Identity Repository – viewed through the Panopticon lens – the maximization of uses for which personal data may be destined, the revised rules on consultation of databases for law enforcement purposes, the challenge of ensuring data quality and the exercise of individual rights. If the EU uses its law enforcement and border control tools to the full, exploits the potential of inter-operability between information sources to identify any security concerns from a common pool of information, and uses the stage of entry into the EU as a key point for security checks to take place, the result will negate the ability of terrorist networks to exploit gaps. This is at the heart of the Security Union.1 © 2020 Kluwer Law International BV, The Netherlands","Data Protection; Databases; ECRIS-TCN; EES; ETIAS; Eurodac; Interoperability; Privacy; SIS II; VIS",,"VAVOULA, N.; School of Law, United Kingdom",,"Kluwer Law International",13543725,,,,"English","European Public Law",Article,"Final","",Scopus,2-s2.0-85099586395
"Vavoula N.","56724218500;","Consultation of EU Immigration Databases for Law Enforcement Purposes: A Privacy and Data Protection Assessment",2020,"European Journal of Migration and Law","22","2",,"139","177",,1,"10.1163/15718166-12340072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091499123&doi=10.1163%2f15718166-12340072&partnerID=40&md5=bd28b8743bfd07dfa19d38bfb73a2fac","Queen Mary University of London, London, United Kingdom","Vavoula, N., Queen Mary University of London, London, United Kingdom","Since the past three decades, an elaborate framework of EU-wide information systems processing the personal data of third-country nationals has emerged. The vast majority of these systems (VIS, Eurodac, EES, ETIAS) are conceptualised as multi-purpose tools, whereby their consultation for crime-related objectives is listed among their ancillary objectives. As a result, immigration records may be accessed by national law enforcement authorities and Europol for the purposes of fighting terrorism and other serious crimes under specified and limited conditions. Drawing from the relevant jurisprudence of the European Court, this article evaluates whether the EU rules on law enforcement access to EU immigration databases comply with the rights to respect for private life and protection of personal data, as enshrined in Article 7 and 8 of the EU Charter respectively. In addition, challenges posed by the forthcoming interoperability between databases are also examined. © 2020 Copyright 2020 by Koninklijke Brill NV, Leiden, The Netherlands.","databases; EES; ETIAS; Eurodac; interoperability; law enforcement; privacy; VIS",,"Vavoula, N.; Queen Mary University of LondonUnited Kingdom; email: n.vavoula@qmul.ac.uk",,"Brill Nijhoff",1388364X,,,,"English","Eur. J. Migr. Law",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85091499123
"Majcher I.","57211937891;","The Schengen-wide entry ban: how are non-citizens’ personal data protected?",2020,"Journal of Ethnic and Migration Studies",,,,"","",,3,"10.1080/1369183X.2020.1796279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089981686&doi=10.1080%2f1369183X.2020.1796279&partnerID=40&md5=62e0e25fcb87b869b9472c4c132e5037","European Council on Refugees and Exiles (ECRE), Brussels, Belgium","Majcher, I., European Council on Refugees and Exiles (ECRE), Brussels, Belgium","The article addresses the Schengen-wide entry ban, which is one of the key measures laid down in the EU Returns Directive (2008/115/EC). The entry ban entails that a non-citizen expelled from one member state is barred from returning to the whole Schengen area for up to five years, or longer in case of a threat to public policy or national security. The pan-European validity of the entry ban is ensured by an alert entered in the Schengen Information System (SIS). The alert is a set of personal data registered in the SIS which states may process to identify the person with a view of the refusal of entry. Processing personal data of non-citizens may pose a challenge to the protection of their data. The article assesses data protection rules laid down in the SIS Regulation (Regulation 1987/2006) and the Regulation which will replace it (Regulation 2018/1861). As it argues, SIS-specific data protection safeguards are frequently narrower than rules under data protection law, including the General Data Protection Regulation and Council of Europe Convention 108, and fall short of requirements flowing from the right to privacy under the European Convention of Human Rights and EU Charter of Fundamental Rights. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","Data protection; entry ban; Returns Directive; right to privacy; Schengen Information System (SIS)",,"Majcher, I.; European Council on Refugees and Exiles (ECRE)Belgium; email: izabella.majcher@graduateinstitute.ch",,"Routledge",1369183X,,,,"English","J. Ethn. Migr. Stud.",Article,"Article in Press","",Scopus,2-s2.0-85089981686
"Soysüren I., Nedelcu M.","57216426901;56589746500;","European instruments for the deportation of foreigners and their uses by France and Switzerland: the application of the Dublin III Regulation and Eurodac",2020,"Journal of Ethnic and Migration Studies",,,,"","",,1,"10.1080/1369183X.2020.1796278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089964704&doi=10.1080%2f1369183X.2020.1796278&partnerID=40&md5=8ff7b83124c229dcc37d229f05d47570","Institute of Sociology, University of Neuchâtel, Neuchâtel, Switzerland","Soysüren, I., Institute of Sociology, University of Neuchâtel, Neuchâtel, Switzerland; Nedelcu, M., Institute of Sociology, University of Neuchâtel, Neuchâtel, Switzerland","The European Union put in place instruments for the deportation of foreigners that gained much importance. This article describes the multiplicity and diversity of these instruments. To analyse them more clearly, it distinguishes three types: legal, organisational and technological. The article equally points to the increasing relevance of technological tools, especially the use of biometrics. It also looks at how a founding member of the EU, France, and an associated country, Switzerland, utilise these European instruments to deport foreigners by focusing on the Dublin III Regulation as well as the Eurodac database, jointly referred to as the Dublin System. Grounding on a comparative study combining documentary analysis and semi-structured interviews and participant observation, this article describes the similarities and differences in the use of the Dublin System in these two countries. Moreover, it also reveals these countries’ specificities with regard to the roles played by local and national administrative bodies, and associative actors. The paper ends by concluding that to fully understand the deportation process in the European context as well as in certain countries, a multifaceted approach is required to make sense of the various interactions taking place between local, national and supranational frameworks, actors and practices. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","biometrics; Deportation; Dublin Regulation; Eurodac; European Union; France; Switzerland",,"Soysüren, I.; Institute of Sociology, Switzerland; email: ibrahim.soysuren@unine.ch",,"Routledge",1369183X,,,,"English","J. Ethn. Migr. Stud.",Article,"Article in Press","",Scopus,2-s2.0-85089964704
"Inshakova A.O., Inshakova E.I., Deryugina T.V.","56185976100;57191255542;57200075772;","Information technologies for the formation of the european space of freedom, security and justice",2020,"Advances in Intelligent Systems and Computing","1100 AISC",,,"444","453",,1,"10.1007/978-3-030-39319-9_51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081663037&doi=10.1007%2f978-3-030-39319-9_51&partnerID=40&md5=2c033dac8f192d351abaf3fb7a578495","Volgograd State University, Volgograd, Russian Federation","Inshakova, A.O., Volgograd State University, Volgograd, Russian Federation; Inshakova, E.I., Volgograd State University, Volgograd, Russian Federation; Deryugina, T.V., Volgograd State University, Volgograd, Russian Federation","The article is devoted to the pan-European information technologies aimed at optimizing the control of crossing the state borders of the pan-European territory, which is part of the Schengen area, taking into account such factors of development of modern reality as globalization and regionalization of the world economy, as well as the growing threat of international terrorism. Automated interstate information systems are considered in the article as a necessary measure of compensatory nature in the conditions of the common economic space functioning on the principles of freedom of movement of goods, services, capital and labor. As a result of the conducted research the priority measures of effective functioning and legal development of SIS are named and reasoned. Recommendations on legal provision of safety of functioning of network and information systems of the EU providing uninterrupted functioning of internal market are given. Formulated changes and additions to a number of existing EU instruments, in particular: Regulation EU №1987/2006. on the establishment, operation and use SIS II, Regulation on the visa information system, the EU Regulation №1987/2006 of 20.12.2006 on the establishment, operation and use of the Schengen information system (SIS II), Regulation EU №603/2013 of 26.06.2013 establishing the «Eurodac», Regulation EU 2017/2226 of 30.11.2017 establishing the entry exit - system, Regulation EU №1077/2011 of 25.10.2011 establishing a European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice, Schengen Borders Code, Visa Code. © Springer Nature Switzerland AG 2020.","Automated information systems; Common European legal space; European space of freedom, security and justice; Information society; International regional integration association; Interstate cooperation; Legal system of the European union; Schengen achievements; Schengen agreement; Schengen informational system; Telecommunication technologies","Artificial intelligence; Codes (symbols); Information systems; Information use; Laws and legislation; Surveying instruments; Automated information; Common European legal space; European union; Information society; Informational system; Interstate cooperation; Regional integration; Schengen achievements; Security and justices; Telecommunication technologies; Information management","Inshakova, A.O.; Volgograd State UniversityRussian Federation; email: gimchp@volsu.ru","Popkova E.G.Sergi B.S.","Springer",21945357,9783030393182,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final","",Scopus,2-s2.0-85081663037
"Peers S.","7003830836;","Legislative Update: EC Immigration and Asylum Law, 2008: Visa Information System",2020,"European Journal of Migration and Law","11","1",,"69","94",,1,"10.1163/157181609X410593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055404573&doi=10.1163%2f157181609X410593&partnerID=40&md5=6d5af212a97212456380d626c3dbfed1","University of Essex, United Kingdom","Peers, S., University of Essex, United Kingdom",[No abstract available],,,"Peers, S.; University of EssexUnited Kingdom",,"Brill Nijhoff",1388364X,,,,"English","Eur. J. Migr. Law",Review,"Final","",Scopus,2-s2.0-85055404573
"Lo Bianco S., Princen S.B.M.","57194073463;6506731570;","How strong is deliberation in EU intergovernmental decision making? Deliberation in the field of Justice and Home Affairs",2019,"Journal of European Integration","41","6",,"729","744",,1,"10.1080/07036337.2019.1587419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062693668&doi=10.1080%2f07036337.2019.1587419&partnerID=40&md5=869db6c411a54d53b0b1156f5cbcc335","Research Group Changing Role of Europe, The Hague University of Applied Sciences, The Hague, Netherlands; Faculty of Law, Economics and Governance, Utrecht University School of Governance, Utrecht University, Utrecht, Netherlands","Lo Bianco, S., Research Group Changing Role of Europe, The Hague University of Applied Sciences, The Hague, Netherlands; Princen, S.B.M., Faculty of Law, Economics and Governance, Utrecht University School of Governance, Utrecht University, Utrecht, Netherlands","The argument that intergovernmental decision making in the EU is not marked by bargaining alone and that occurrences of deliberation play an important role is gaining increasing recognition in the literature. In this article, we critically evaluate that claim by developing a notion of deliberation along Habermasian lines, in which deliberation is understood as a process that induces negotiating partners to change positions through argumentation. Based on this conceptualization, we explore to what extent and under which conditions deliberation is likely to occur in intergovernmental settings. To that end, we analyse decision-making on the proposal to give law enforcement authorities access to the Visa Information System. We conclude that a ‘thicker’ conceptualization yields relatively few instances of deliberation. Moreover, we identify a number of specific conditions, and interrelationships between them, that are conducive to this kind of deliberation. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","Constructivism; deliberation; European Union; Intergovernmentalism; Justice and Home Affairs (JHA); Visa Information System (VIS)",,"Lo Bianco, S.; Research Group Changing Role of Europe, Netherlands; email: s.lobianco@hhs.nl",,"Routledge",07036337,,,,"English","J. Eur. Integr.",Article,"Final","",Scopus,2-s2.0-85062693668
"Glouftsios G.","57197773539;","Designing digital borders: The Visa Information System (VIS)",2019,"Technology and Agency in International Relations",,,,"164","187",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089992635&partnerID=40&md5=fa582a38bef6db65d5690fe5fb799f8a","University of Trento, Italy","Glouftsios, G., University of Trento, Italy",[No abstract available],,,"Glouftsios, G.; University of TrentoItaly",,"Taylor and Francis Inc.",,9780429871757; 9781138615397,,,"English","Technol. and Agency in Int. Relat.",Book Chapter,"Final","",Scopus,2-s2.0-85089992635
"Inshakova A.O., Kochetkova S.Y., Serbina E.A.","56185976100;57210614058;57208153547;","The Schengen Information System: Legal support for the automated cross-border business management",2019,"IOP Conference Series: Materials Science and Engineering","483","1","012101","","",,1,"10.1088/1757-899X/483/1/012101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063966861&doi=10.1088%2f1757-899X%2f483%2f1%2f012101&partnerID=40&md5=1dad8f6999e3d7bf96541848b347d903","Volgograd State University, Department of Civil and International Private Law, prosp. Universitetsky, 100, Volgograd, 400062, Russian Federation; Volgograd State University, Department of Germanic and Romanic Philology, prosp. Universitetsky, 100, Volgograd, 400062, Russian Federation","Inshakova, A.O., Volgograd State University, Department of Civil and International Private Law, prosp. Universitetsky, 100, Volgograd, 400062, Russian Federation; Kochetkova, S.Y., Volgograd State University, Department of Germanic and Romanic Philology, prosp. Universitetsky, 100, Volgograd, 400062, Russian Federation; Serbina, E.A., Volgograd State University, Department of Civil and International Private Law, prosp. Universitetsky, 100, Volgograd, 400062, Russian Federation","This study examines the impact of the development of the information and communication technologies on the social, economic and political systems of the member countries of the united Europe, as well as the countries entering into business and production relations with them. The authors reveal the issues of using the Internet as a tool of the loyal border management of the united countries, ensuring the liberalization of the movement of factors of production through the creation of a single space of freedom, security and justice. The infocommunication technologies are researched as a management mechanism with regard to their influence on modern geopolitical, economic, and specifically industrial processes. The indicated approach is implemented simultaneously both as the management of the content of political relations and the management of their form. The Schengen border management information system is regarded as one of the most striking examples of the information technologies use in the political, economic, and specifically industrial sphere. The structure and legal mechanisms of this system operation are analyzed, on the basis of which the advantages and disadvantages of technological and legal nature are revealed. Special attention is paid to the analysis of the draft laws under development aimed at the improvement of the Schengen information system as an electronic technology for the automated border management of the pan-European space of freedom, security and justice. Among other things the authors have taken into account the latest changes in the legal regulation of the Schengen information system, which took place in October 2018.Taking into account the identified shortcomings in the functioning of the Schengen information system, the recommendations for their elimination are formulated. It is concluded that it is necessary to create a single European information portal in order to optimize the processing of data received from the different agencies. The general trends of the SIS II reform are the simplification and acceleration of the procedures, as well as the strengthening of the personal data protection. © Published under licence by IOP Publishing Ltd.",,"Industrial economics; Information use; Security of data; Business management; Electronic technologies; Factors of production; Industrial processs; Information and Communication Technologies; Information portals; Management mechanisms; Security and justices; Information management",,"Shamne N.L.Malushko E.Y.","Institute of Physics Publishing",17578981,,,,"English","IOP Conf. Ser. Mater. Sci. Eng.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85063966861
"Mahamut R.G., Cordero J.V.","56151736800;57212404449;","The protection of asylum seeker's personal data in the (new) european common asylum system: Major challenges and serious shortcomings [La protección de los datos personales de los solicitantes de protección internacional en el (Nuevo) sistema europeo común de asilo: Grandes desafíos y graves deficiencias]",2019,"Teoria y Realidad Constitucional",,"44",,"237","270",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076594366&partnerID=40&md5=e695254814fe731b73610c43828fe3ef","University Jaume, Spain; Universitat Jaume I, Spain","Mahamut, R.G., University Jaume, Spain; Cordero, J.V., Universitat Jaume I, Spain","The present work addresses an innovative legal analysis on the treatment and protection of personal data about asylum and subsidiary protection seekers in the comprehensive reform of the Common European Asylum System (CEAS). This reform, among other countless aspects, has increased the effective EU Information Management as the key to protect external borders, improve the management of migration flows and contribute to the enhancement of internal security. The applicable data protection legislation is significantly fragmented, complex and diffuse since, despite the GDPR excludes from its scope asylum-related activities, border control, and immigration is directly defined in the proposed Dublin IV, Procedures and Eurodac regulations. At the same time, the persistent linkages to the security of Member States can reflect the potential application of the Data Protection Directive on Police Matters. In addition, the interoperability of different information systems, the deployment of specific bodies (such as Frontex or EASO) as well as law enforcement authorities are bound directly by their own regulations. Consequently, this fragmented and particularly complex legal framework constitutes the subject of the study. © 2019 Universidad Nacional de Educacion a Distancia.","Border security; CEAS reform; Data protection directive in in police matters; Dublin iv system; General data protection regulation; international protection; Protection and processing of asylum seekers personal data; Refugees; Subsidiary protection; UNHCR",,,,"Universidad Nacional de Educacion a Distancia",11395583,,,,"Spanish","Teor. Real. Const.",Article,"Final","",Scopus,2-s2.0-85076594366
"Scheel S.","55762175200;","Autonomy of migration? Appropriating mobility within biometric border regimes",2019,"Autonomy of Migration?: Appropriating Mobility within Biometric Border Regimes",,,,"1","230",,35,"10.4324/9781315269030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068407605&doi=10.4324%2f9781315269030&partnerID=40&md5=4b5f7c66a71020f675718608eb44be88","Sociology department, University of Duisburg-Essen, Germany","Scheel, S., Sociology department, University of Duisburg-Essen, Germany","Examining how migrants appropriate mobility in the context of biometric border controls, this volume mobilises new analytics and empirics in the debates about the politics of migration and provides an analytically effective and politically significant tool for the study of contemporary migration. Drawing from the tension between the EU’s attempt to achieve watertight border controls by means of biometric technologies, and migrants’ persistence to move to and live in the EU, the volume pursues two interrelated objectives: first, it studies the encounters between migrants and the Visa Information System (VIS), one of the largest biometric databases in the world, from the perspective of mobility in order to investigate how migrants appropriate mobility via Schengen visa within and against this biometric border regime. Second, it addresses criticisms of autonomy of migration in order to develop it as a viable approach for border, migration and critical security studies. Hence, the book is driven by two interrelated research questions: what does the assertion of moments of autonomy of migration refer to in the context of border regimes that use biometrics to turn migrants’ bodies into a means of mobility control? And how do migrants appropriate mobility via Schengen visa within and against biometric border regimes? This book will be of great interest to scholars in border, migration and critical security studies, as well as researchers engaged in citizenship studies, surveillance studies, political theory, critical IR theory and international political sociology. © 2019 Stephan Scheel.",,,"Scheel, S.; Sociology department, Germany",,"Taylor and Francis",,9781351977838; 9781138285361,,,"English","Autonomy of Migration?: Appropriating Mobil. within Biometric Bord. Regimes",Book,"Final","",Scopus,2-s2.0-85068407605
"Fragapane S., Minaldi G.","57191570649;57196079513;","Migration policies and digital technologies in Europe: a comparison between Italy and Spain",2018,"Journal of European Integration","40","7",,"905","921",,5,"10.1080/07036337.2018.1482289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048358993&doi=10.1080%2f07036337.2018.1482289&partnerID=40&md5=2448807c227e11be80aa3bad0a70c2af","University of Enna “Kore”, Enna, Italy","Fragapane, S., University of Enna “Kore”, Enna, Italy; Minaldi, G., University of Enna “Kore”, Enna, Italy","This paper analyses the connection between European migration policies and digital technologies, with a look at the significant changes that have affected the formation and meaning of borders on the continent. Particular attention is paid to the primary digital surveillance systems (SIS II, VIS, EURODAC) in Italy and Spain, importantly ‘Europe’s gatekeepers’ over the last decade. The results of the research contradict the thesis that there is persistence non-compliance with surveillance systems in the Southern European member states, and also highlight important areas of divergence between the two countries’ migration policy pathways. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Communitarization; digital surveillance systems; Italy; southern european migration model; Spain",,"Minaldi, G.; University of Enna “Kore”Italy; email: giancarlo.minaldi@unikore.it",,"Routledge",07036337,,,,"English","J. Eur. Integr.",Article,"Final","",Scopus,2-s2.0-85048358993
"Voynikov V.","57200082764;","The legal aspects of the EU visa policy [ПРАВОВЫЕ АСПЕКТЫ ВИЗОВОЙ ПОЛИТИКИ ЕС]",2018,"Sovremennaya Evropa",,"4",,"79","89",,1,"10.15211/soveurope420187989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063294876&doi=10.15211%2fsoveurope420187989&partnerID=40&md5=b99fe39a49e4089574c7ffa0224f2462","Department of International and European Law, I. Kant Baltic Federal University 14, A. Nevskogo ul., Kaliningrad, 236041, Russian Federation","Voynikov, V., Department of International and European Law, I. Kant Baltic Federal University 14, A. Nevskogo ul., Kaliningrad, 236041, Russian Federation","This article analyzes the EU visa policy taking into account the changes planned in the short term perspective. At the same time, the author focuses on studying the legal framework, as well as the key elements of this policy. Author believes that the system of EU legal acts regulating visa relations should be qualified as EU visa legislation, which is one of the elements of a larger system of legal acts in the field of freedom of movement of persons. The EU visa policy has two key areas: the establishment of a visa / visa-free entry regime; the establishment of the procedure and conditions for issuing short stay visas. The latter area also includes issues related to the functioning of the Visa Information System. Currently, the EU realizes the reform of the visa policy, which covers both its directions. The analysis of the ongoing reform shows that the EU, on the one hand, seeks to strengthen external borders by creating additional control mechanisms, and. on the other hand, as a compensatory measure, creates more comfortable conditions for the entry of frequent and law-abiding travelers. © 2018 Institute of Europe Russian Academy of Sciences. All rights reserved.","EU visa policy; European area of freedom, security and justice; Schengen area; Visa code; Visa Information System",,"Voynikov, V.; Department of International and European Law, A. Nevskogo ul., Russian Federation; email: voinicov@yandex.ru",,"Institute of Europe Russian Academy of Sciences",02017083,,,,"Russian","Sovrem. Evr.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85063294876
"Järvsoo M., Norta A., Tsap V., Pappel I., Draheim D.","57204507749;23036260500;57198350853;51764257800;57200287738;","Implementation of information security in the EU information systems: An Estonian case study",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11195 LNCS",,,"150","163",,4,"10.1007/978-3-030-02131-3_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055853635&doi=10.1007%2f978-3-030-02131-3_15&partnerID=40&md5=d6ebd9ccd77464fd9f8000697930bafb","Large-Scale Systems Group, Tallinn University of Technology, Akadeemia tee 15a, Tallinn, 12618, Estonia","Järvsoo, M., Large-Scale Systems Group, Tallinn University of Technology, Akadeemia tee 15a, Tallinn, 12618, Estonia; Norta, A., Large-Scale Systems Group, Tallinn University of Technology, Akadeemia tee 15a, Tallinn, 12618, Estonia; Tsap, V., Large-Scale Systems Group, Tallinn University of Technology, Akadeemia tee 15a, Tallinn, 12618, Estonia; Pappel, I., Large-Scale Systems Group, Tallinn University of Technology, Akadeemia tee 15a, Tallinn, 12618, Estonia; Draheim, D., Large-Scale Systems Group, Tallinn University of Technology, Akadeemia tee 15a, Tallinn, 12618, Estonia","In this paper we present the findings of a case-study on IT system security in the area of EU internal security and justice. We have analyzed the implementation of information security for the EU information systems EURODAC, SIS II and VIS in case of Estonia. The analysis comes in a situation, where there are multiple regulations, directives, guidelines; but it lacks a unified standard for the implementation of the member states subsystems. The main finding is that a separate standard is not necessary; however, there is a need for setting minimum requirements, ensuring security of the information systems, that come with appropriate guidelines that help the member states to achieve the minimum requirements. The second finding is that there is a need for greater cooperation and an increased knowledge exchange of the methods used in the member states. Following defined guidelines and exchanging knowledge would help to strengthen the level of security for the entire system. © IFIP International Federation for Information Processing 2018.","EU-LISA; EURODAC; GDPR; ISO 27001; IT security; Schengen; SIS II; VIS","Electronic commerce; Information use; Knowledge management; Security of data; EURODAC; GDPR; ISO 27001; IT security; Schengen; Information systems","Draheim, D.; Large-Scale Systems Group, Akadeemia tee 15a, Estonia; email: dirk.draheim@ttu.ee","Mantymaki M.Al-Sharhan S.A.Simintiras A.C.Tahat L.Moughrabi I.Ali T.M.Janssen M.Dwivedi Y.K.Rana N.P.","Springer Verlag",03029743,9783030021306,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85055853635
[No author name available],[No author id available],"Interskriptum: Trotz Brexit, Eurodac und alledem",2017,"Nachrichten aus der Chemie","65","6",,"676","",,,"10.1002/nadc.20174065333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020212245&doi=10.1002%2fnadc.20174065333&partnerID=40&md5=4025a800964748dc74cc33778688a2fd",,"",[No abstract available],,,,,"Wiley Blackwell",14399598,,NCTLD,,"English","Nachrichten Chem.",Editorial,"Final","",Scopus,2-s2.0-85020212245
"Ceyhan A.","6701378182;","Policing by dossier: Identification and surveillance in an era of uncertainty and fear",2017,"Controlling Frontiers: Free Movement Into and Within Europe",,,,"209","232",,5,"10.4324/9781315259321-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082273333&doi=10.4324%2f9781315259321-7&partnerID=40&md5=e6e1bfe29c8277d714f1d9a518c0eb5e","University of Paris, France","Ceyhan, A., University of Paris, France","Governments affirm that the underlying idea is to modernize the cumbersome bureaucracy by making it easy to obtain personal information through nationwide databases. This chapter analyzes the appetite for identification and identity in the context of a post-bipolar, post-Westphalian and globalized world. It examines how it is intrinsically related to the transformations of security preoccupations and to the perceptions of the enemy in the new context as well as to the fear of the unknown and uncertainty. Schengen Information System (SIS) is a computerized information system on persons, stolen vehicles, and objects for the use of border control authorities, customs, and national police. It relies on increased policing behind borders and extensive cross-border police cooperation between Schengen members. The chapter asserts that the enhanced development of identification and surveillance technologies leads to the creation of what Laudon calls a ""dossier society"". It concludes by stressing the shift to a new form of surveillance generated by these transformations. © Didier Bigo and Elspeth Guild 2005.",,,"Ceyhan, A.; University of ParisFrance; email: ayseceyhan@hotmail.com",,"Taylor and Francis",,9781351948715; 9780754630111,,,"English","Controlling Frontiers: Free Movement Into and Within Europe",Book Chapter,"Final","",Scopus,2-s2.0-85082273333
"Maltseva Ju.","57200070580;","Reforming the common European Asylum system",2017,"Sovremennaya Evropa","76","4",,"121","129",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039038245&partnerID=40&md5=4e57ef06a3ef9b2397a35746a3c0c089","Department of International and European Law, Immanuel Kant Baltic Federal University, 14, A. Nevsky st, Kaliningrad, 236041, Russian Federation","Maltseva, Ju., Department of International and European Law, Immanuel Kant Baltic Federal University, 14, A. Nevsky st, Kaliningrad, 236041, Russian Federation","The article examines two packages of legislative proposals which were submitted to the European Parliament and the Council on 4 May and 13 July 2016 in order to reform the Common European Asylum System (CEAS). The main purpose of the article is to analyze and evaluate the key changes prepared by the European Commission. The author offers a brief overview of the seven bills covering various issues related to migration: the Dublin procedure, the Eurodac system, the EU Agency for asylum, reception conditions and the procedure for granting international protection, the qualification of third-country nationals or stateless persons as beneficiaries of international protection, as well as a Union Resettlement Framework. The author comes to the conclusion that it will be extremely difficult for the EU to reach unanimity because of the divergent views on the migration problem's solution.","Common European Asylum System; European Union; Immigrants; International protection; Reform",,"Maltseva, Ju.; Department of International and European Law, 14, A. Nevsky st, Russian Federation; email: juliamalceva1992@gmail.com",,"Institute of Europe Russian Academy of Sciences",02017083,,,,"Russian","Sovrem. Evr.",Article,"Final","",Scopus,2-s2.0-85039038245
"Parmar P.A., Degadwala S.D.","57192558064;57192540864;","A feature level fusion fingerprint indexing approach based on MV and MCC using SVM classifier",2016,"International Conference on Communication and Signal Processing, ICCSP 2016",,,"7754304","1024","1028",,2,"10.1109/ICCSP.2016.7754304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006810850&doi=10.1109%2fICCSP.2016.7754304&partnerID=40&md5=d468bc13c9232c1e69b828cee299cd8c","Computer Department, Sigma Institute of Engineering, Vadodara, Gujarat, India","Parmar, P.A., Computer Department, Sigma Institute of Engineering, Vadodara, Gujarat, India; Degadwala, S.D., Computer Department, Sigma Institute of Engineering, Vadodara, Gujarat, India","Now a day, the biometric traits are widely used due to the growing demand for secure and reliable identification of an individual. Fingerprint is used by many fields like military for border control and government applications in India as the Aadhaar project, in Europe as the Visa Information System (VIS), in USA as the US-VISIT/IDENT which generally contain billions of samples of fingerprints. In this paper, we propose a fingerprint indexing scheme at feature level fusion based on Minutiae Vicinity and Minutiae Cylindrical Code and a support-vector-machine-based learning algorithm is used to train the system using the feature extracted which will improve the efficiency in seeking a candidate reference list from large scale biometric data databases, where the personality related with the input data is dictated by contrasting it with each and every entry in the database. This coordinating procedure is tedious and conceivably increments, the rate of wrong identification, hence we propose a new fingerprint indexing approach which would improve the performance of the system. © 2016 IEEE.","Biometric; Fingerprint; Indexing; Minutiae","Biometrics; Indexing (of information); Military applications; Support vector machines; Biometric traits; Feature level fusion; Fingerprint; Fingerprint indexing; Minutiae; Reference list; SVM classifiers; Visa information systems; Signal processing",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509003969,,,"English","Int. Conf. Commun. Signal Process., ICCSP",Conference Paper,"Final","",Scopus,2-s2.0-85006810850
