Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Saxer A.R.","6701879081;","Schengen-Assoziierimg der Schweiz",2005,"Kriminalistik","59","1",,"58","62",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13144273800&partnerID=40&md5=6c4240221518bbc4d1753206f52b4ae6","Stv. Chefin Sektion Politik, Institutionen Integrationsbüro, EDA/EVD, Bern, Switzerland","Saxer, A.R., Stv. Chefin Sektion Politik, Institutionen Integrationsbüro, EDA/EVD, Bern, Switzerland","Switzerland is de facto already part of the Schengen area. Border controls have loosened at the Swiss borders but Switzerland lacks the complementary measures foreseen by Schengen. The bilateral police agreements Switzerland concluded with the neighbouring states are a necessary complement to the Schengen cooperation but not a substitute. Schengen offers the Swiss authorities cooperation with police and justice authorities of soon 27 states, access to the Schengen Information system and participation at the visa cooperation.",,,"Stv. Chefin Sektion Politik, , Bern, Switzerland",,,00234699,,KRMNA,,"German","Kriminalistik",Review,"Final","",Scopus,2-s2.0-13144273800
"Kierkegaard S.M.","55954422500;","Here comes the 'cybernators'!",2006,"Computer Law and Security Report","22","5",,"381","391",,4,"10.1016/j.clsr.2006.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979798057&doi=10.1016%2fj.clsr.2006.07.005&partnerID=40&md5=4d897c8169b6b946800d3788776032e7","International Association of IT Lawyers, Denmark","Kierkegaard, S.M., International Association of IT Lawyers, Denmark","The EU Framework Decision 2005/222/JHA on attacks against information systems addresses the core of computer-related crime by a harmonisation instrument that approximates criminal law rules and facilitates judicial cooperation for illegal access to information systems (hacking), illegal interference with information systems and intentional deletion, damaging, deterioration, alteration, suppression or rendering inaccessible of computer data. The Framework Decision is expected to close existing legal loopholes in some legislation which has allowed criminals, such as hackers, to walk free after causing severe damage. However, the new law is unevenly implemented and will cripple the work of security experts testing the systems as well as stifle online public protest. © 2006 Sylvia Mercado Kierkegaard.",,"Information science; Laws and legislation; Online conferencing; Security systems; Computer data; Illegal interference; Information systems; Computer crime","Kierkegaard, S.M.; International Association of IT LawyersDenmark",,"Elsevier Ltd",02673649,,CLSRE,,"English","Comput Law Secur Rep",Article,"Final","",Scopus,2-s2.0-84979798057
"De Hert P., Fuster G.G., Koops B.-J.","23059826500;26655644900;6701362964;","Fighting cybercrime in the two europes. the added value of the eu framework decision and the council of europe convention",2006,"Revue Internationale de Droit Penal","77","3",,"503","524",,7,"10.3917/ridp.773.0503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649240062&doi=10.3917%2fridp.773.0503&partnerID=40&md5=9e7bfd08cf0911f724a66b3035814d07","Vrije Universiteit Brussel, Tilburg University (TILT), Belgium; Institute for European Studies (Vrije Universiteit Brussel); Regulation and Technology at Tilburg University (TILT), Netherlands","De Hert, P., Vrije Universiteit Brussel, Tilburg University (TILT), Belgium; Fuster, G.G., Institute for European Studies (Vrije Universiteit Brussel); Koops, B.-J., Regulation and Technology at Tilburg University (TILT), Netherlands","The Council of Europe adopted its Convention on Cybercrime in 2001. Four years later, Council Framework Decision 2005/222/JHA of 24 February 2005 on attacks against information systems saw the light. What is the added value of this text? How should it be judged in the context of the EU and the global fight against cybercrime? This paper examines the question from the perspective of a series of interlinked concrete forms of misbehaviour (data and systems interference, spam, spyware, identity theft) and procedural issues (multi-loci problems, data retention), placing special attention on the legal potential of both 'European' texts as a response to cybercrime threats.© érès. Tous droits réservés pour tous pays.",,,"De Hert, P.; Vrije Universiteit Brussel, Belgium",,"Editions Eres",02235404,,,,"English","Rev. Int. Droit Penal",Article,"Final","",Scopus,2-s2.0-67649240062
"Ross J.C.","15056753700;","Biometrics: Intersecting borders and bodies in liberal bionetwork states",2007,"Journal of Borderlands Studies","22","2",,"77","96",,7,"10.1080/08865655.2007.9695678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865976116&doi=10.1080%2f08865655.2007.9695678&partnerID=40&md5=12630b68c962dcf87e2a99d6edc2f053","Department of Political Science, Colorado State University, Fort Collins, CO, United States","Ross, J.C., Department of Political Science, Colorado State University, Fort Collins, CO, United States","This paper addresses the following two part question: How are liberal bionetwork states using technology to manage human flows and what are the broader political implications of these developments? Specifically, I examine the expanding scope and implications of biometric surveillance technologies in liberal states’ border securitization practices. Since 9/11, biometric identification systems have been fast‐tracked as a “silver‐bullet solution” to address perceived threats to border security in the United States and the European Union. I argue that the deployment of new information and biometric technologies in the United States and the European Union is both individuating and expanding state space into new geographies (i.e., state control is extensifying inside bodies and reaching outside sovereign territorial boundaries). This is due, in part, to the deployment and growing interoperability of new border securitization technologies, like US‐VISIT in the United States and the second generation of the Schengen Information System (SIS II) and Visa Information System (VIS) in the European Union. Biometric systems augment efforts to create a high‐concept, multi‐layered, interoperable system of “virtual borders” designed to deter or intercept determined terrorists, criminals, and unauthorized migrants. As the deployment of biometric technologies creep from the margins to the mainstream, privacy and surveillance concerns will become evermore salient. Equally important are the implications of this incremental “disembodied integration” of people with states on how liberal bionetwork societies make decisions about belonging and exclusion. As virtual borders extend into our bodies and around the globe, securitization measures that intersect bodies and states require a virtual theory to account for these new geographies of state space and the qualitative affects on individuals. © 2007, Taylor & Francis Group, LLC.",,,"Ross, J.C.; Department of Political Science, , Fort Collins, CO, United States",,,08865655,,,,"English","J. Borderl. Stud.",Article,"Final","",Scopus,2-s2.0-84865976116
"Broeders D.","17433346100;","The new digital borders of Europe: EU databases and the surveillance of irregular migrants",2007,"International Sociology","22","1",,"71","92",,175,"10.1177/0268580907070126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846263699&doi=10.1177%2f0268580907070126&partnerID=40&md5=38cc68b3a7a702fb8199abb03a5dc00a","Erasmus University of Rotterdam, Dutch Scientific Council for Government Policy, Netherlands; Erasmus University of Rotterdam, Department of Sociology, PO Box 1738, 3000 DR Rotterdam, Netherlands; Scientific Council for Government Policy, PO Box 20004, 2500 EA, The Hague, Netherlands","Broeders, D., Erasmus University of Rotterdam, Dutch Scientific Council for Government Policy, Netherlands, Erasmus University of Rotterdam, Department of Sociology, PO Box 1738, 3000 DR Rotterdam, Netherlands, Scientific Council for Government Policy, PO Box 20004, 2500 EA, The Hague, Netherlands","This article analyses the development of three EU migration databases and their significance for the internal control of irregular migrants. Because borders and immigration policy alone cannot stop irregular migration, many governments turn to internal migration control on settled irregular migrants. Surveillance of this group is aimed at their exclusion from key societal institutions, discouraging their stay and ultimately, the deportation of apprehended irregular migrants. These are policies in which identification of irregular migrants is crucial. In this age, registration and identification mean computerized and networked databases. The member states of the EU are currently developing a network of databases in the field of (irregular) immigration. The Schengen Information System (II), the Eurodac database and the Visa Information System are vast databases, often including biometric data, aimed at controlling migration flows and identifying and sorting legal and irregular migrants. These systems are able to 're-identify' parts of the population of irregular migrants on the basis of digital traces of their migration history. It is argued that the digital infrastructure that is now growing past its infancy is developing into a formidable tool for the surveillance of irregular migrants in Europe. ©International Sociological Association.","Databases; European Union; Irregular migration; Social sorting; Surveillance",,"Broeders, D.; Erasmus University of Rotterdam, Netherlands; email: broeders@fsw.eur.nl",,,02685809,,,,"English","Int. Sociol.",Article,"Final","",Scopus,2-s2.0-33846263699
"Mathiesen T.","57210198269;","The rise of the surveillant state in times of globalization",2007,"The Blackwell Companion to Criminology",,,,"437","451",,5,"10.1002/9780470998960.ch23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956510710&doi=10.1002%2f9780470998960.ch23&partnerID=40&md5=623abb682d87a1f3ef1e513925ae3e89","University of Oslo, Norway","Mathiesen, T., University of Oslo, Norway",[No abstract available],"Eurodac; Europol; Globalization; Sirene system; Surveillant state",,"Mathiesen, T.; University of OsloNorway",,"Wiley Blackwell",,9780470998960; 9780631220923,,,"English","The Blackwell Companion to Criminol.",Book Chapter,"Final","",Scopus,2-s2.0-84956510710
"Kierkegaard S.","55954422500;","The Prüm decision - An uncontrolled fishing expedition in 'Big Brother' Europe",2008,"Computer Law and Security Report","24","3",,"243","252",,11,"10.1016/j.clsr.2008.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979834489&doi=10.1016%2fj.clsr.2008.03.002&partnerID=40&md5=c13476bc26da5d23f6a90955e9ee514c","International Association of IT Lawyers, Denmark","Kierkegaard, S., International Association of IT Lawyers, Denmark","The enlargement of the European Union and the abolition of the borders between the Member States have led to security challenges. In the context of improving security, recent initiatives have focused on the exchange of law enforcement information with effect in 2008 under the ""availability"" principle. This principle of availability was introduced in the Prüm Treaty, also known as Schengen III. The core element of the treaty is the creation of a network of national databases to promote the exchange of information between law enforcement authorities. In particular, reciprocal access is given to Contracting States' national databases, containing DNA profiles, fingerprints and vehicle registration data. Although this initiative started as a multilateral agreement, a small group of influential countries led by Germany has successfully twisted the arms of other EU countries into integrating the provisions of the agreement into the legislative framework of the European Union under the Third Pillar. The treaty has been incorporated into a Council Decision binding on all EU member states. While the treaty represents a progress in the field of cooperation against crime, the implications of this treaty are far reaching. It raises privacy and data protection issues which will affect all EU citizens, primarily due to the absence of common legally binding data protection standards. © 2008 Sylvia Kierkegaard.",,"Database systems; DNA; Electronic data interchange; International cooperation; Security of data; Data protection standards; DNA profiles; Law enforcement","Kierkegaard, S.; International Association of IT LawyersDenmark",,"Elsevier Ltd",02673649,,CLSRE,,"English","Comput Law Secur Rep",Article,"Final","",Scopus,2-s2.0-84979834489
"Brouwer E.","10539285300;","Digital borders and real rights: Effective remedies for third-country nationals in the Schengen information system",2008,"Immigration and Asylum Law and Policy in Europe","15",,,"1","596",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966774783&partnerID=40&md5=554829922643a28a5b6c0d8d02b0d28e",,"Brouwer, E.",[No abstract available],,,"Brouwer, E.","Niessen J.Guild E.Guild E.","Martinus Nijhoff Publishers",15682749,9789004165038,,,"English","Immigr. Asylum Law Policy Eur.",Review,"Final","",Scopus,2-s2.0-84966774783
"Stefanou C.","56112161500;","The European criminal record: Political parameters",2008,"Towards a European Criminal Record",,,,"59","78",,,"10.1017/CBO9780511495069.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927004727&doi=10.1017%2fCBO9780511495069.004&partnerID=40&md5=1e319793eb5b7ebd13a6b18f62f0876b","Institute of Advanced Legal Studies, School of Advanced Studies, University of London, United Kingdom","Stefanou, C., Institute of Advanced Legal Studies, School of Advanced Studies, University of London, United Kingdom","Introduction The idea behind the creation of a European Criminal Record was first put forward to the Commission in the political reviser’s Report of a Falcone Study on the use of national criminal records, completed in 2000. It was noted in that Report that the existing problems in judicial and enforcement agencies’ cooperation across the EU made the use of national criminal records as a means of combating organised crime rather problematic. It was pointed out that practical problems hindered the speed, access and effectiveness of existing methods of cooperation and the creation and use of an ECR was the way forward for the effective combating of organised crime. Of course, the idea of using databases as a means of combating crime is not new. Practically all enforcement agencies around the world use ‘files’ (in paper or digital form) on crimes, suspects and methods (modus operandi) in an attempt to prevent crime or prosecute criminals. In fact, in recent years digital databases such as the Schengen Information System (SIS) have become the first line of defence against transnational organised crime and plans to update and develop further the system into a SIS II are on the way. What makes the proposal for an ECR different is the idea of an EU-wide dedicated database which addresses the problem directly: in other words, a dedicated database which contains information extracted from national criminal records on selected crimes. © Cambridge University Press 2008 and Cambridge University Press, 2009.",,,"Stefanou, C.; Institute of Advanced Legal Studies, School of Advanced Studies, University of LondonUnited Kingdom",,"Cambridge University Press",,9780511495069; 9780521866699,,,"English","Towards a European Criminal Record",Book Chapter,"Final","",Scopus,2-s2.0-84927004727
"Mitsilegas V.","15759992900;","Databases in the area of freedom, security and justice: Lessons for the centralisation of records and their maximum exchange",2008,"Towards a European Criminal Record",,,,"311","335",,2,"10.1017/CBO9780511495069.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909422433&doi=10.1017%2fCBO9780511495069.017&partnerID=40&md5=1dddc44237ed296829bef28891d9065f","School of Law, Queen Mary, University of London, United Kingdom","Mitsilegas, V., School of Law, Queen Mary, University of London, United Kingdom","Introduction A key element in the development of EU action in Justice and Home Affairs in recent years has been the creation of legal and technical mechanisms aiming to facilitate the collection, exchange and analysis of personal data. Steps in this direction have taken the form of initiatives aiming both at eliminating obstacles to the exchange of personal data between national authorities and at creating EU-wide structures and databases. The emphasis on developing EU-wide databases can be witnessed in both the immigration and asylum field (with the establishment of the EURODAC and Schengen Information System (SIS) databases and proposals to establish a Visa Information System (VIS) in the pipeline) and the criminal law/policing field (the Europol database and part of the SIS database being prime examples). Political reactions to terrorist attacks this decade have led to calls for increasingly linking these databases (notwithstanding their different purpose) and increasing their ‘interoperability’ – a strategy clearly visible in the 2004 Hague Programme, a five-year renewal of the EU Justice and Home Affairs strategy. The Hague Programme also calls for the further facilitation of bilateral information exchanges in the police field under the so-called ‘principle of availability’ and for the ‘deepening’ of surveillance by the use of biometrics in the various databases. © Cambridge University Press 2008 and Cambridge University Press, 2009.",,,"Mitsilegas, V.; School of Law, Queen Mary, University of LondonUnited Kingdom",,"Cambridge University Press",,9780511495069; 9780521866699,,,"English","Towards a European Criminal Record",Book Chapter,"Final","",Scopus,2-s2.0-84909422433
"Besters M., Brom F.W.A.","36634029500;6603118585;","'Greedy' information technology: The digitalization of the European migration policy",2010,"European Journal of Migration and Law","12","4",,"455","470",,22,"10.1163/157181610X535782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649298081&doi=10.1163%2f157181610X535782&partnerID=40&md5=7dc4e76a977856f44a42bdc8a2600f53","Technology Assessment Department, Rathenau Institute, The Hague, Netherlands; Department of Philosophy, School of Humanities, Tilburg University, Netherlands; Ethics Institute, Utrecht University, Netherlands","Besters, M., Technology Assessment Department, Rathenau Institute, The Hague, Netherlands, Department of Philosophy, School of Humanities, Tilburg University, Netherlands; Brom, F.W.A., Technology Assessment Department, Rathenau Institute, The Hague, Netherlands, Ethics Institute, Utrecht University, Netherlands","European borders are being transformed into digital borders. The ambition behind the European information systems - like the Schengen Information System and Eurodac - is to establish a single Union information system to control the flux of migrants. We show that in this process information technology is not a neutral tool to reach established goals but that it is 'greedy'. This greediness indicates the distorting potential of information technology regarding the means-end logic. Our analysis suggests that the European migration policy is stuck in a 'digital fix', i.e. a technological fix focusing on ICT. We identify three political issues concerning greedy information technology within the context of the European migration policy. The first issue concerns the democratic control on information systems. The second issue discusses the weak legal position of immigrants. The third issue inquires into the effectiveness of information systems as a policy instrument. © Koninklijke Brill NV, Leiden, 2010.","digital borders; European migration policy; illegal immigrants; information technology; Schengen information system",,"Besters, M.; Technology Assessment Department, , The Hague, Netherlands",,,1388364X,,,,"English","Eur. J. Migr. Law",Article,"Final","",Scopus,2-s2.0-78649298081
