Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Raineri L.","57003326400;","The Bioeconomy of Sahel Borders: Informal Practices of Revenue and Data Extraction",2021,"Geopolitics",,,,"","",,1,"10.1080/14650045.2020.1868439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104351322&doi=10.1080%2f14650045.2020.1868439&partnerID=40&md5=2a4decc6d55810b81bd701b528402316","Researcher of Security Studies at the Sant’Anna School of Advanced Studies, DIRPOLIS Institute, Italy","Raineri, L., Researcher of Security Studies at the Sant’Anna School of Advanced Studies, DIRPOLIS Institute, Italy","As recent work in border studies has argued, EU-border externalisation is often achieved by exporting technocratic management templates and advanced surveillance technologies, prompting scholars to adopt the lens of biopolitics in studying borderwork. Outside of Europe, however, the paucity of resources and vastness of spaces mean that indigenous forms of agency continue to be a key factor of border governance. Focusing on everyday practices illuminated by ethnographic fieldwork, this article investigates EU border externalisation’s encounter with the Sahelian context. It argues that state and non-state actors form, deform and perform borders by extracting and capturing the material (economic) and immaterial (cognitive) resources that pass through liminal spaces. These dynamics shape a biopolitical economy of border control in which features of exceptionality, sovereignty and politics seem less compelling that those pertaining to the sphere of ordinary, hybridity and economy. © 2021 Taylor & Francis Group, LLC.",,,Article,"Article in Press","",Scopus,2-s2.0-85104351322
"Abomhara M., Yayilgan S.Y.","36179511800;57204767591;","An Example of Privacy and Data Protection Best Practices for Biometrics Data Processing in Border Control: Lesson Learned from SMILE",2021,"Communications in Computer and Information Science","1382",,,"344","358",,,"10.1007/978-3-030-71711-7_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103514971&doi=10.1007%2f978-3-030-71711-7_29&partnerID=40&md5=430afb3b521d54ff210ef83afb9ff498","Department of Information Security and Communication Technology, Norwegian University of Science and Technology, Trondheim, Norway","Abomhara, M., Department of Information Security and Communication Technology, Norwegian University of Science and Technology, Trondheim, Norway; Yayilgan, S.Y., Department of Information Security and Communication Technology, Norwegian University of Science and Technology, Trondheim, Norway","Biometric recognition is a highly adopted technology to support different kinds of applications, ranging from security and access control applications to low enforcement applications. However, such systems raise serious privacy and data protection concerns. Misuse of data, compromising the privacy of individuals and/or authorized processing of data may be irreversible and could have severe consequences on the individual’s rights to privacy and data protection. This is partly due to the lack of methods and guidance for the integration of data protection and privacy by design in the system development process. In this paper, we present an example of privacy and data protection best practices to provide more guidance for data controllers and developers on how to comply with the legal obligation for data protection. These privacy and data protection best practices and considerations are based on the lessons learned from the SMart mobILity at the European land borders (SMILE) project. © 2021, Springer Nature Switzerland AG.","Best practices; Biometrics; Data protection; Data protection by design; Privacy by design","Access control; Biometrics; Adopted technology; Best practices; Biometric recognition; Border control; Control applications; Data controllers; Legal obligations; System development process; Privacy by design",Conference Paper,"Final","",Scopus,2-s2.0-85103514971
"Ioannidis P., Dimou E., Dadusc D.","57221644289;57194599239;57184262500;","Sappers of Fortress Europe: exploring the micropolitics of borders through the occupational culture of asylum caseworkers in Greece",2021,"Journal of Ethnic and Migration Studies","47","15",,"3641","3659",,,"10.1080/1369183X.2021.1873114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099689085&doi=10.1080%2f1369183X.2021.1873114&partnerID=40&md5=55ea3438a3c502eaa74ee2f7894318e3","European Research and Training Center for Human Rights and Humanitarian Law, Panteion University of Social and Political Sciences, Athens, Greece; Social Policy and Criminology, Open University, Milton Keynes, United Kingdom; School of Applied Social Science, Brighton University, Brighton, United Kingdom","Ioannidis, P., European Research and Training Center for Human Rights and Humanitarian Law, Panteion University of Social and Political Sciences, Athens, Greece; Dimou, E., Social Policy and Criminology, Open University, Milton Keynes, United Kingdom; Dadusc, D., School of Applied Social Science, Brighton University, Brighton, United Kingdom","This paper considers borders as ubiquitous and pervasive social relations and as sites of struggles, which are shaped through and transformed by social antagonisms and contestations. While much discussion of border struggles focuses on migrants’ resistance and various forms of activism, this paper provides insights on the micro-resistance of those who, instead of overtly opposing and contesting the biopolitical power of border regimes, are integral to their operation: asylum caseworkers who filter and select border-crossers. The paper presents data from interviews with self-identified leftist asylum caseworkers in Greece who, through their work, seek to create cracks in the so-called ‘Fortress Europe’. By exploring the somewhat unexplored occupational culture of leftist asylum caseworkers, we show how, while trying to resist bordering regimes, leftist asylum caseworkers both critique and reproduce the power relations they seek to subvert. Essentially, we provide valuable insights on the limits of resistance due to the workings of powerful technologies of government–informed by neoliberal managerialism–that are operational in day-to-day life of the asylum process. The paper thus provides a novel exploration of the complex and entangled relation between technologies of power and micro-resistances within border regimes in the significant context of Greece. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","asylum caseworkers; counter-conduct; Greece; Micropolitics of borders; occupational culture","asylum seeker; cross-border relations; migrants experience; neoliberalism; political border; political power; popular protest; Greece",Article,"Final","",Scopus,2-s2.0-85099689085
"Glouftsios G., Scheel S.","57197773539;55762175200;","An inquiry into the digitisation of border and migration management: performativity, contestation and heterogeneous engineering",2021,"Third World Quarterly","42","1",,"123","140",,9,"10.1080/01436597.2020.1807929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090008793&doi=10.1080%2f01436597.2020.1807929&partnerID=40&md5=9a18f6606a9ffd650b7b3919334dd0a1","School of International Studies, University of Trento, Trento, Italy; Institute of Sociology (IfS), Faculty of Social Sciences, University Duisburg-Essen, Duisburg, Germany","Glouftsios, G., School of International Studies, University of Trento, Trento, Italy; Scheel, S., Institute of Sociology (IfS), Faculty of Social Sciences, University Duisburg-Essen, Duisburg, Germany","This article is concerned with the digitisation of border security and migration management. Illustrated through an encounter between a migrant and the Visa Information System (VIS)–one of the largest migration-related biometric databases worldwide–the article’s first part outlines three implications of digitisation. We argue that the VIS assembles a set of previously unconnected state authorities into a group of end users who enact border security and migration management through the gathering, processing and sharing of data; facilitates the practice of traceability, understood as a rationality of mobility control; and has restrictive effects on migrants’ capacity to manoeuvre and resist control. Given these implications, the article’s second part introduces three analytical sensitivities that help to avoid some analytical traps when studying digitisation processes. These sensitivities take their cue from insights and concepts in science and technology studies (STS), specifically material semiotics/ANT approaches. They concern, firstly, the ways that data-based security practices perform the identities of the individuals that they target; secondly, the need to consider possible practices of subversion by migrants to avoid control-biased analyses; and finally, the challenge to study the design and development of border security technologies without falling into either technological or socio-political determinism. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","biometrics; borders; migration management; mobility control; science and technology studies (STS); Visa Information System (VIS)","biometry; border region; database; immigrant; management; migration; science and technology",Article,"Final","",Scopus,2-s2.0-85090008793
"Gazzotti L., Hagan M.","57211851786;57218374916;","Dispersal and dispossession as bordering: exploring migration governance through mobility in post-2013 Morocco",2021,"Journal of North African Studies","26","5",,"912","931",,5,"10.1080/13629387.2020.1800209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088972435&doi=10.1080%2f13629387.2020.1800209&partnerID=40&md5=a0d90e7b7f5587a1a7031513d0f2a8aa","Lucy Cavendish College and CRASSH, University of Cambridge, Cambridge, United Kingdom; Department of Geography, University of Cambridge, Cambridge, United Kingdom","Gazzotti, L., Lucy Cavendish College and CRASSH, University of Cambridge, Cambridge, United Kingdom; Hagan, M., Department of Geography, University of Cambridge, Cambridge, United Kingdom","Dispersal has acquired an increasingly central role within state-led border control strategies in Europe and North Africa. Scholars have, however, tended to apprehend dispersal in its geographical dimension, failing to interrogate bordering beyond spatial distancing from the territorial edges of the state. Furthermore, dispersal strategies in non-European countries are underexplored. We start filling these gaps by examining how dispersal operates in Morocco–a country where, since the announcement of a new migration policy in 2013, the routine internal dispersal of groups of dark-skinned people racially profiled as ‘illegal sub-Saharan’ by Moroccan police forces has become commonplace. Drawing on extensive qualitative fieldwork conducted between 2016 and 2019, as well press articles and NGO reports, we advance a dynamic understanding of bordering by analysing how the repeated spatial relocation of migrant people works through and in tandem with mechanisms of dispossession. We draw together literature on dispersal as migration governance and on dispossession as containment, proposing that dispersal activates practices of dispossession that expand the reach of bordering beyond spatial distance, turning it into an embodied technology: migrant people profiled as ‘sub-Saharan’ experience bordering as a form of inflicted hypermobility and a condition of protracted, unbearable living to which they are confined. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","bordering; dispersal; dispossession; immigration; Morocco","dispersal; governance approach; immigrant population; immigration; immigration policy; migration; mobility; Morocco",Article,"Final","",Scopus,2-s2.0-85088972435
"Pollozek S.","57207944128;","Turbulences of speeding up data circulation. Frontex and its crooked temporalities of ‘real-time’ border control",2020,"Mobilities","15","5",,"677","693",,3,"10.1080/17450101.2020.1801304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089992304&doi=10.1080%2f17450101.2020.1801304&partnerID=40&md5=3a1363309d9fb774bc9e209c9416ef38","Digital Media Lab, Munich Center for Technology in Society, Technical University of Munich, Munich, Germany","Pollozek, S., Digital Media Lab, Munich Center for Technology in Society, Technical University of Munich, Munich, Germany","In the last decade, various information systems have been created to process data in ‘near to real-time’ across agencies to ‘improve situational awareness and to increase reaction capability’ at the external borders of the European Union. While the policing of mobilities is increasingly discussed in terms of instantaneity, speed, and real-timeness, little has been said about the temporalities of data mobility. This paper focuses on the socio-technical architectures that are generative of data mobilities and analyses the temporality of data circulation as the outcome of a contingent formation of various actors, sites, and materials. Based on an indepth analysis of the Frontex information system Joint Operation Reporting Application (JORA), it works out several sources of turbulence that turn data mobility into a ‘crooked’ process of patching multiple temporalities and paces together. It will show how the implementation of JORA faces data frictions, issues of data quality, the synchronization of multiple orderings, and the clash of temporalities of border control practices on the ground. Thus, the infrastructuring of data circulation has effects on interorganizational forms of collaboration and knowledge production as well as on border work in the field of European migration and border control. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","data mobilites; Governance of migrant mobilities; infrastructures; real-timeness; turbulence","border region; European Union; immigrant; infrastructure; migration; mobility",Article,"Final","",Scopus,2-s2.0-85089992304
"Sahraoui N.","56728491100;","Integration into liminality: women’s lives in an open centre for migrants at Europe’s Southern Antechamber",2020,"Journal of Ethnic and Migration Studies","46","9",,"1809","1827",,3,"10.1080/1369183X.2019.1597690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063740904&doi=10.1080%2f1369183X.2019.1597690&partnerID=40&md5=ce1bb08fcfa87512f5e9b75d8628c311","Robert Schuman Centre for Advanced Studies, European University Institute, Firenze, Italy","Sahraoui, N., Robert Schuman Centre for Advanced Studies, European University Institute, Firenze, Italy","This article examines the ‘integration discourse’ that characterises migrants’ governance in the Centre for the Temporary Stay of Immigrants (CETI) in the Spanish enclave of Melilla. Beyond observing the incongruous character of the integration discourse, the article unpacks the ways in which this framing fulfils a specific function within the broader setup of migration control and the gendered modalities of migrant governance on a daily basis. The article argues that life in the CETI presents the fundamental characteristics of an existence inscribed within a total institution, implying the use of discipline as a technology of power and a structure of relations based on deference, in the specific guise of residents’ condition as ‘subjects to be integrated’. Furthermore, the article identifies three forms of dispossession–material, role and time-related–carried out against the background of a fictional integration, each bringing its share of gendered implications. This article draws on fieldwork conducted in Melilla over three months, with regular visits to the CETI that entailed participant observation inside the Centre as well as semi-structured interviews with migrant women on the one hand, and social, healthcare, and administrative workers on the other. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","borders; gender; integration; Migration","administrative framework; immigrant; immigration policy; international migration; policy implementation; state role; Europe; Melilla",Article,"Final","",Scopus,2-s2.0-85063740904
"Dahler N.","57216981342;","Biometrics as imperialism: age assessments of young asylum seekers in Denmark",2020,"Race and Class","62","1",,"24","45",,2,"10.1177/0306396820925648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085624522&doi=10.1177%2f0306396820925648&partnerID=40&md5=820be222e392e00c40e43770f1af6886",,"Dahler, N.","This article explores medical assessments of the age of unaccompanied minors seeking asylum in Denmark, to show how, through the medical and bureaucratic aspects of the process, it serves as an imperialist technology of control, as those judged under 18 have greater protection in the asylum system. Since the biggest group of people who are age-estimated in Denmark are Afghans, the author looks at the relationship between Denmark and Afghanistan and draws on interviews with people who underwent the process. By connecting medical documents with biometric measurement in colonial contexts and the current expansion of biometric surveillance, the author argues that the collection of intrusive physical data from Afghan minors is to be understood as a colonial mapping of the body. The Danish Immigration Service’s age decision-making process articulates a form of administrative rule that works to depoliticise questions of dispossession and death, and is a form of colonial violence enabled by humanitarian discourse and law. © 2020 Institute of Race Relations.","Afghanistan; biometric surveillance; Danish Immigration Service; Denmark; Eurodac; imperialist technology; medical age assessments; unaccompanied minors; ‘war on terror’","Afghan; Afghanistan; article; asylum seeker; biometry; decision making; Denmark; human; immigration; interview; medical assessment; violence",Article,"Final","",Scopus,2-s2.0-85085624522
"Fisseha M.","57224888753;","Challenges of policing migration flows through smart border technology: Case study of the mediterranean region",2020,"Policing Transnational Crime: Law Enforcement of Criminal Flows",,,,"99","113",,,"10.4324/9781351132275-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108482999&doi=10.4324%2f9781351132275-6&partnerID=40&md5=2fe4744fa33a7507af700641564628c7",,"Fisseha, M.","The rapid evolution of information communication and technology has directly impacted the rise of globalisation that has increased trans-boundary mobility of people. In Europe, the establishment of the Schengen Area necessitated the screening of movements and travel of citizens from third countries across Schengen Area’s external border. The main drawback of adopting new technology especially at border points is associated with price and training of personnel. Existing smart border technologies are built on the concepts of Entry and Exit systems and the Registered Travellers Programme. The Mediterranean region was the first to adopt these smart border technological systems. While the screening of cross-border travellers is viewed as ‘sleeping with one eye’, it is largely inefficient in combating the rise in illegal migrants and travelling policy challenges. Cross-border travellers face various challenges when submitting their personal information for border control. © 2020 selection and editorial matter, Saskia Hufnagel and Anton Moiseienko; individual chapters, the contributors.",,,Book Chapter,"Final","",Scopus,2-s2.0-85108482999
"Neisse R., Hernandez-Ramos J.L., Matheu-Garcia S.N., Baldini G., Skarmeta A., Siris V., Lagutin D., Nikander P.","8443870100;56157393500;57208818190;57193911480;7004419066;35612920000;23397109700;56013096300;","An Interledger Blockchain Platform for Cross-Border Management of Cybersecurity Information",2020,"IEEE Internet Computing","24","3","9119756","19","29",,4,"10.1109/MIC.2020.3002423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086715867&doi=10.1109%2fMIC.2020.3002423&partnerID=40&md5=d83ad4cd03cf7cec5cbe826d1f1263d1","European CommissionJoint Research Centre; University of Murcia, Spain; Athens University of Economics and Business, Greece; Aalto University, Finland","Neisse, R., European CommissionJoint Research Centre; Hernandez-Ramos, J.L., European CommissionJoint Research Centre; Matheu-Garcia, S.N., University of Murcia, Spain; Baldini, G., European CommissionJoint Research Centre; Skarmeta, A., University of Murcia, Spain; Siris, V., Athens University of Economics and Business, Greece; Lagutin, D., Aalto University, Finland; Nikander, P., Aalto University, Finland","Cybersecurity certification is a core notion to support the mitigation of cybersecurity risks of Information and Communication Technologies (ICT). At the European Union (EU) level, the Cybersecurity Act establishes a common cybersecurity certification framework supporting the coexistence of different certification schemes across Member States. However, its realization needs to be sustained by technical approaches to enable ICT stakeholders from different sectors or countries to exchange cybersecurity information and evaluate the up-to-date security level of an ICT system throughout their lifecycle. Toward this end, we propose a blockchain-based platform using a novel interledger design, where ledgers associated with ICT artifacts, cybersecurity certificates, and vulnerabilities are interconnected. The main purpose is to leverage the advantages of blockchain in terms of distributed trust, transparency, and accountability, while at the same time coping with scalability, performance, and interoperability requirements. We analyze the impact of our platform in the current EU legislation and provide insights for its deployment. © 1997-2012 IEEE.","Blockchain; Cybersecurity Certification; Interledger","Life cycle; Cross-border; Cyber security; EU legislation; ICT systems; Information and Communication Technologies; Interoperability requirements; Security level; Blockchain",Article,"Final","",Scopus,2-s2.0-85086715867
"Degenhardt T., Bourne M.","56580572900;37100944500;","When risks meet: The dance of experience, professional expertise and science in border security technology development",2020,"Criminology and Criminal Justice","20","2",,"207","225",,1,"10.1177/1748895818811896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058623803&doi=10.1177%2f1748895818811896&partnerID=40&md5=ce737578d5bceecbcc04e8c63c958a29","Queen’s University Belfast, United Kingdom","Degenhardt, T., Queen’s University Belfast, United Kingdom; Bourne, M., Queen’s University Belfast, United Kingdom","As policing and threats become increasingly transnational and plural, practices of managing risk increasingly use technologies that promise certainty. Drawing on a study of the creation of a new border detection device, and ideas from Science and Technology Studies, we argue that devices deployed as objective tools for risk assessment and management in the policing of borders, and the laboratories that develop them, are not simply linear applications of scientific knowledge to control risk but rather are crucial sites in which multiple and contending conceptions and practices of risk converge. Following the interactions of scientists, border guards, policing agents and the EU shows how an official discourse of risk, a scientific conception and experiential working knowledge of risk all ‘danced’ together in the development of a portable detection device. In the process experiential/contextual and professional knowledge of risk were often privileged over rationalistic and statistically based risk assessment. © The Author(s) 2018.","Border; CBRNE; policing; risk; security; technology",,Article,"Final","",Scopus,2-s2.0-85058623803
"Dravigny J.","57191668751;","Analysing the involvement of security companies in European border management policy with the concept of political work [Analyser la participation des entreprises de sécurité et de défense dans la politique européenne de gestion des frontières par le prisme du travail politique]",2020,"Politique Europeenne","65","3",,"90","121",,,"10.3917/poeu.065.0090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083046810&doi=10.3917%2fpoeu.065.0090&partnerID=40&md5=f9ed79ad340531c57771a49794da341c","Sciences Po, Bordeaux, France","Dravigny, J., Sciences Po, Bordeaux, France","This article analyses the role of the security and defence firms in the European public policies regarding the external borders control. On one side, we highlight the industrial “political work” realised by these firms. Such activities consist in a contextual framing and a representation of an “artificial” industry sector (the security industry), to establish themselves as legitimate experts in the eyes of the governmental actors. On the other side, we study the institutional political work achieved by the European Commission, which uses this “savoir-faire” from the private sector to pursue its own supranational entrepreneurship strategies while sharing a common vision of borders control with the help of technologies. In doing so, the Commission has reconfigured to its benefits the JHA institutional dynamics, at the expense of others, as the European Parliament. The latter is relatively marginalised from an emerging European field of power. © L'Harmattan",,,Article,"Final","",Scopus,2-s2.0-85083046810
"Gäckle N.","57212026816;","Taming future mobilities: biopolitics and data behaviourism in the European Travel Information and Authorisation System (ETIAS)",2020,"Mobilities","15","2",,"257","272",,,"10.1080/17450101.2019.1693725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075726713&doi=10.1080%2f17450101.2019.1693725&partnerID=40&md5=98de63d9f1e4af9fdba71c56e851ed29","Department of Political Science, University of Tuebingen, Tuebingen, Germany","Gäckle, N., Department of Political Science, University of Tuebingen, Tuebingen, Germany","In this paper, I critically engage with the European Travel Authorisation and Information System (ETIAS), looking at the rationalities underlying its introduction, its system architecture and its proposed functionalities. Tracing the biopolitical problematisation of the border that led to ETIAS, I argue that the system embodies a shift towards data behaviourism in the regime of truth underlying the biopolitical regulation of the EU border. Data behaviourism establishes a new way of seeing conduct, adding a potential future layer to it. Taming future mobilities through data-mining and future-oriented algorithmic processing, ETIAS imagines mobile subjects in terms of their motility and thereby produces dividuals and blurs the spatio-temporal boundedness of the EU border. ETIAS thereby complicates resistance by avoiding fixed identities and instead rarefies subjects through seeing them as being constantly emergent through new correlations. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","biopolitics; border security; Circulation; data behaviourism; dividuals; technology","authoritarianism; correlation; European Union; international relations; political border; regional security; travel behavior; Europe",Article,"Final","",Scopus,2-s2.0-85075726713
"Pelizza A.","36461657200;","Processing Alterity, Enacting Europe: Migrant Registration and Identification as Co-construction of Individuals and Polities",2020,"Science Technology and Human Values","45","2",,"262","288",,22,"10.1177/0162243919827927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061591320&doi=10.1177%2f0162243919827927&partnerID=40&md5=d8dcbc980e1fa9b8ef108db2a7589299","Science, Technology and Policy Studies, Faculty of Behavioural, Management and Social Sciences, University of Twente, Enschede, Netherlands","Pelizza, A., Science, Technology and Policy Studies, Faculty of Behavioural, Management and Social Sciences, University of Twente, Enschede, Netherlands","This article introduces the concept of “alterity processing” to account for the simultaneous enactment of individual “Others” and emergent European orders in the context of migration management. Alterity processing refers to the data infrastructures, knowledge practices, and bureaucratic procedures through which populations unknown to European actors are translated into “European-legible” identities. By drawing on fieldwork conducted in Italy and the Hellenic Republic from 2017 to 2018, this article argues that different registration and identification procedures compete to legitimize different chains of actors, data, and metadata as more authoritative than others. Competing procedures have governance implications, as well, with some actors being included and others being excluded. Furthermore, there is evidence that—despite procedural rigidities—applicants themselves propose alternative chains of actors, data, and metadata that are more meaningful to them. In this tension, it is not only the individual Other that is enacted but also specific bureaucratic orders cutting across old and new European actors and distinctive understandings of “Europe.” From a technology studies perspective, this article engages in a dialogue with the emergent debate on Hotspots, the scholarship about the infrastructural construction of Europe and political sociology. © The Author(s) 2019.","bureaucracy; data infrastructures; Europe; metadata; migration; population",,Article,"Final","",Scopus,2-s2.0-85061591320
"Sadik G., Kaya C.","55447780400;57222732080;","The role of surveillance technologies in the securitization of eu migration policies and border management [AB Göç Politikalarının ve Sınır Yönetiminin Güvenlikleştirilmesinde Gözetim Teknolojilerinin Rolü]",2020,"Uluslararasi Iliskiler","17","68",,"145","160",,1,"10.33458/uidergisi.856932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103897739&doi=10.33458%2fuidergisi.856932&partnerID=40&md5=d5e0df00247b19ae8f6c2b4aaeb88974","Yıldırım Beyazıt University, Department of International Relations, Ankara, Turkey","Sadik, G., Yıldırım Beyazıt University, Department of International Relations, Ankara, Turkey; Kaya, C., Yıldırım Beyazıt University, Department of International Relations, Ankara, Turkey","This study offers critical analysis on the role of surveillance technologies in the securitization of migration policies and the impact of such practices on the EU’s international identity. The EU member states have adopted various technological instruments that have serious consequences both for the course of the EU’s migration policies and its normative international identity. The findings of this research suggest that by securitizing its migration policies through new surveillance technologies, the EU may risk violating its founding norms and principles. These violations are, in turn, likely to have serious political repercussions for the global image and credibility of the EU in the years to come. © 2020, International Relations Council of Turkey. All rights reserved.","Border Management; Migration Policy of the EU; Normative Power; Securitization; Surveillance Technologies",,Article,"Final","",Scopus,2-s2.0-85103897739
"Gajda A.","57222260611;","State-of-the-art technologies and managing the external borders of the european union [Najnowsze technologie i zarządzanie granicami zewnętrznymi unii europejskiej]",2020,"Krytyka Prawa","12","4",,"50","69",,,"10.7206/kp.2080-1084.409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102045735&doi=10.7206%2fkp.2080-1084.409&partnerID=40&md5=095cf56181850013748c8cc200e39462","Instytut Nauk Prawnych, Uniwersytet Opolski, Poland","Gajda, A., Instytut Nauk Prawnych, Uniwersytet Opolski, Poland","The article focuses on the normative, institutional, and operational design of the European Union as an area where a considerable part of internal security is based on state-of-the-art technologies and large-scale information systems. This is fol-lowed by an analysis of the legal challenges arising from the establishment of so-called smart borders, i.e. borders involving automated border control and the interoperability of all large-scale information systems. The article poses two fundamental research questions. Firstly: how do these new phenomena affect the effectiveness of management of the external borders in the EU? Secondly: are the existing legal frameworks able to bear the changes that are occurring? It seems that the aspiration towards interoperability may cause ten-sions underlying the establishment and functioning of the area of freedom, security, and justice (AFSA) in the EU – if the EU’s information systems become more and more interoperable, then the EU legal order may become less and less consistent with them. © 2020 Author.","European Union; Integrated management of external borders; Interoperability; Large-scale information systems; New technologies; Smart borders",,Article,"Final","",Scopus,2-s2.0-85102045735
"ADEN H.","16232240200;","Interoperability Between EU Policing and Migration Databases: Risks for Privacy",2020,"European Public Law","26","1",,"93","108",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100081498&partnerID=40&md5=0151ec4a81bb2171a38b4ddd52a412f2","Professor of German and European Public Law, Public Policy and Public Administration, Berlin School of Economics and Law/Hochschule für Wirtschaft und Recht, Department of Police and Security Management, Deputy Director of the Berlin Institute for Safety and Security Research, HWR Berlin, Germany","ADEN, H., Professor of German and European Public Law, Public Policy and Public Administration, Berlin School of Economics and Law/Hochschule für Wirtschaft und Recht, Department of Police and Security Management, Deputy Director of the Berlin Institute for Safety and Security Research, HWR Berlin, Germany","The interoperability initiative passed in May 2019 as Regulations (EU) 2019/817 and 818 seeks new strategies for identifying dangerous individuals who use false or multiple identities. The EU's databases in the Area of Freedom Security and Justice (AFSJ) for policing and migration purposes will be interconnected. This constitutes a paradigm shift for purpose limitation as a core element of data protection. This article identifies regulatory patterns and shortcomings in the technical and legal data protection arrangements of the interoperability regulations. The legal framework for data protection in the EU has developed considerably with the General Data Protection Regulation (GDPR) 2016/679 and with Directive 2016/680 for policing and criminal justice. The European Data Protection Board, a multilevel accountability forum in which European and national data protection authorities cooperate has been established. From a trans-disciplinary legal, public administration, and public policy perspective, this article analyses the regulatory patterns and institutional settings established for the upcoming interoperability of databases for policing and migration. © 2020 Kluwer Law International BV, The Netherlands","accountability; data protection; EU external borders; EU migration and policing databases; eu-LISA; Europol; inter-operability; police information sharing; privacy; Schengen Information System; Visa Information System",,Article,"Final","",Scopus,2-s2.0-85100081498
"VAVOULA N.","56724218500;","Interoperability of EU Information Systems: The Deathblow to the Rights to Privacy and Personal Data Protection of Third-Country Nationals?",2020,"European Public Law","26","1",,"131","156",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099586395&partnerID=40&md5=fa9e3330204160b2fbd0ece1ff2ebf70","School of Law, Queen Mary, University of London, United Kingdom","VAVOULA, N., School of Law, Queen Mary, University of London, United Kingdom","This article examines key privacy and data protection concerns raised by the Regulations that establish a framework for interoperability between EU-wide centralized information systems processing personal data of third-country nationals (Schengen Information System II, Visa Information System, Eurodac, Entry/Exit System, European Travel Information and Authorization System, European Criminal Records Information System for third-country nationals). After a concise outline of the complex landscape within which these databases have been set up, emphasis is placed on the novelties and challenges that interoperability brings forward. In that regard, the articles evaluates the setting up of new databases, particularly the Biometric Matching Service and the Common Identity Repository – viewed through the Panopticon lens – the maximization of uses for which personal data may be destined, the revised rules on consultation of databases for law enforcement purposes, the challenge of ensuring data quality and the exercise of individual rights. If the EU uses its law enforcement and border control tools to the full, exploits the potential of inter-operability between information sources to identify any security concerns from a common pool of information, and uses the stage of entry into the EU as a key point for security checks to take place, the result will negate the ability of terrorist networks to exploit gaps. This is at the heart of the Security Union.1 © 2020 Kluwer Law International BV, The Netherlands","Data Protection; Databases; ECRIS-TCN; EES; ETIAS; Eurodac; Interoperability; Privacy; SIS II; VIS",,Article,"Final","",Scopus,2-s2.0-85099586395
"GALLI F.","57189092073;","Interoperable Databases: New Cooperation Dynamics in the EU AFSJ?",2020,"European Public Law","26","1",,"109","129",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099545095&partnerID=40&md5=9b8cb3688bf02b62e665afc888d981af","Research Associate, European University Institute, Florence, Italy","GALLI, F., Research Associate, European University Institute, Florence, Italy","At present EU institutions and agencies as well as national legislators have ambitious agendas on law enforcement authorities’ access to interoperable information systems, which have become a defining feature of the Area of Freedom, Security and Justice (AFSJ). They are the most advanced form of information exchange, conferring direct information access to competent authorities. Interoperable information systems are intended for the exchange of raw material for investigation purposes, which at a later stage could become evidence at trial. Interoperable information systems challenge existing cooperation dynamics and redefine the role of the actors involved. It is questionable whether mutual recognition and approximation, which have been considered the cornerstone of judicial cooperation in both civil and criminal matters for many years, can describe alone integration dynamics in law enforcement cooperation, particularly with reference to information sharing. This article appraises whether, and to what extent, law enforcement access to and use of interoperable information systems constitute new modes of law enforcement cooperation in the EU AFSJ. It then assesses what would be the implications of such a paradigm shift on information management. After a short overview of the main features of interoperability, it addresses whether and how the establishment and functioning of interoperable information systems actually or potentially redefines the existing distribution of tasks between th EU and Member States and among competent authorities of different kinds. © 2020 Kluwer Law International BV, The Netherlands","approximation; Area of Freedom Security and Justice; European Union; information management; interoperability; law enforcement; mutual recognition; platform integration; principle of availability",,Article,"Final","",Scopus,2-s2.0-85099545095
